name,gender,email,phone,address
Stuart Emanson,M,semanson0@unc.edu,486-428-0289,4339 Anhalt Terrace
Easter McGibbon,F,emcgibbon1@shareasale.com,385-462-8576,7283 Acker Trail
Maynord Bisp,M,mbisp2@unesco.org,748-457-5318,45 Nova Park
Eda Kenworthy,F,ekenworthy3@nba.com,818-687-3728,67272 Kedzie Park
Emmott Turbern,F,eturbern4@hhs.gov,293-615-1876,47894 Cambridge Park
Neall Bartozzi,M,nbartozzi5@wikipedia.org,723-313-4982,2 Graedel Pass
Arnoldo Scimoni,F,ascimoni6@weebly.com,942-509-7872,7295 Onsgard Pass
Nicoline Ginnaly,M,nginnaly7@weebly.com,187-852-5684,12922 Sullivan Place
Ford Brushneen,M,fbrushneen8@miitbeian.gov.cn,977-364-1939,15 Orin Park
Kendre Yvon,F,kyvon9@weebly.com,978-974-7857,7 Mockingbird Trail
